run_id,architecture_slug,architecture_label,dataset_label,stress_slug,stress_label,scenario_index,aging_light_suns,scan_light_suns,aging_temperature_C,scan_temperature_C,light_suns,temperature_C,n_timepoints,min_aging_h,max_aging_h,PCE_initial_pct,PCE_final_pct,PCE_final_retention_pct,Voc_final_V,FF_final,Jsc_final_mAcm2,valid_metric_timepoints,raw_jv_file
arch_baseline_pin__stress_light_0p01sun_temp_300k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p01sun_temp_300k,"0 sun, 300 K",1,0.01,1.0,26.850000000000023,26.850000000000023,0.01,26.850000000000023,10,0,1000,22.61538683565649,22.607991458738166,99.9672993569729,1.2720185298223674,0.8624149364200766,20.60877951894825,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p20sun_temp_300k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p20sun_temp_300k,"0.2 sun, 300 K",2,0.2,1.0,26.850000000000023,26.850000000000023,0.2,26.850000000000023,10,0,1000,22.61538683644497,22.589189365901223,99.88416085591105,1.2715508699756453,0.8620847193384586,20.607103843466422,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p40sun_temp_300k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p40sun_temp_300k,"0.4 sun, 300 K",3,0.4,1.0,26.850000000000023,26.850000000000023,0.4,26.850000000000023,10,0,1000,22.615386987557716,22.569428302593803,99.79678134630551,1.2710672578553714,0.8617320015568942,20.605340961839858,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p60sun_temp_300k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p60sun_temp_300k,"0.6 sun, 300 K",4,0.6,1.0,26.850000000000023,26.850000000000023,0.6,26.850000000000023,10,0,1000,22.615386836445072,22.549698592274538,99.70954180600317,1.2705922687165632,0.8613742061386314,20.60357914296281,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p80sun_temp_300k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p80sun_temp_300k,"0.8 sun, 300 K",5,0.8,1.0,26.850000000000023,26.850000000000023,0.8,26.850000000000023,10,0,1000,22.615386835656636,22.530000388585933,99.62244091736659,1.270125661795397,0.8610115040149519,20.60181838958276,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_1p00sun_temp_300k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_1p00sun_temp_300k,"1 sun, 300 K",6,1.0,1.0,26.850000000000023,26.850000000000023,1.0,26.850000000000023,10,0,1000,22.6153868714081,22.51033217300882,99.53547246838347,1.2696671513729183,0.8606440387906448,20.60005856188496,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p01sun_temp_320k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p01sun_temp_320k,"0 sun, 320 K",7,0.01,1.0,46.85000000000002,46.85000000000002,0.01,46.85000000000002,10,0,1000,22.61538687128928,22.579697705848073,99.8421907807975,1.271446321632783,0.8617799118073408,20.60742496739961,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p20sun_temp_320k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p20sun_temp_320k,"0.2 sun, 320 K",8,0.2,1.0,46.85000000000002,46.85000000000002,0.2,46.85000000000002,10,0,1000,22.615386869712577,22.48949750046388,99.44334638193922,1.2693065015704073,0.8601210632796702,20.599356991348586,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p40sun_temp_320k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p40sun_temp_320k,"0.4 sun, 320 K",9,0.4,1.0,46.85000000000002,46.85000000000002,0.4,46.85000000000002,10,0,1000,22.615386871289658,22.395235507908666,99.02654168759555,1.2672286990056114,0.8582733249262476,20.590885285376963,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p60sun_temp_320k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p60sun_temp_320k,"0.6 sun, 320 K",10,0.6,1.0,46.85000000000002,46.85000000000002,0.6,46.85000000000002,10,0,1000,22.61538683632693,22.301660730323942,98.61277585798774,1.265300513553565,0.8563410933880213,20.582434182464823,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
