n_training_runs,repeat,target,mae,rmse,coverage_95
6,0,PCE_retention_pct,1.2427982368061627,2.105485978637708,1.0
6,1,PCE_retention_pct,3.2409649732321277,6.527340211797144,0.68
6,2,PCE_retention_pct,4.543216719975024,8.924002131512859,0.34
6,3,PCE_retention_pct,1.3558643071734535,2.61197805402412,0.9
12,0,PCE_retention_pct,0.5102668512687606,0.9637453117065196,0.8916666666666667
12,1,PCE_retention_pct,0.45801022233129746,0.958826904932103,0.8958333333333334
12,2,PCE_retention_pct,0.49725736846217866,0.8585566189965462,0.9458333333333333
12,3,PCE_retention_pct,0.5524714576206544,0.9850228278356581,0.9041666666666667
18,0,PCE_retention_pct,0.6345032124175453,1.5892699959845917,0.7722222222222223
18,1,PCE_retention_pct,0.36680084385394074,0.5592244768195043,1.0
18,2,PCE_retention_pct,0.24433425920767193,0.5425977963838539,0.9555555555555556
18,3,PCE_retention_pct,0.27704448355608147,0.7797342161593656,0.8611111111111112
24,0,PCE_retention_pct,0.20057933714494988,0.3364527633072047,0.925
24,1,PCE_retention_pct,0.1224864819954707,0.18511146192162822,0.9666666666666667
24,2,PCE_retention_pct,0.1303144178429442,0.2290725032537654,0.9583333333333334
24,3,PCE_retention_pct,0.16624020683399982,0.5004182813564958,0.95
30,0,PCE_retention_pct,0.06461913230829618,0.07918630936392124,1.0
30,1,PCE_retention_pct,0.07437104686877376,0.12661834881680836,0.95
30,2,PCE_retention_pct,0.06984313044352225,0.12679811899455334,0.9833333333333333
30,3,PCE_retention_pct,0.21363110686385553,0.6283086598036219,0.9
